PL06041607_1	PL06041607_0
1793	2002.60180892576
1788	2002.58887194826
1794	2002.57916932484
1793	2002.56946679544
1789	2002.55653023583
1788	2002.54682792582
1789	2002.53712570982
1804	2002.52418956807
1806	2002.51448757145
1795	2002.50155172219
1802	2002.49184994493
1794	2002.48214826168
1801	2002.46921283025
1803	2002.45951136635
1800	2002.44980999646
1784	2002.43687498284
1790	2002.42717383229
1803	2002.41747277575
1799	2002.40453817992
1791	2002.3948373427
1789	2002.38190303931
1809	2002.37220242142
1787	2002.36250189753
1800	2002.34956801189
1793	2002.33986770731
1801	2002.33016749672
1795	2002.31723402881
1790	2002.30753403753
1794	2002.29783414023
1791	2002.28490109003
1790	2002.27520141202
1792	2002.26226865421
1790	2002.25256919549
1798	2002.24286983075
1792	2002.22993749061
1800	2002.22023834515
1798	2002.21053929366
1787	2002.19760737118
1792	2002.18790853895
1793	2002.17820980069
1792	2002.16527829585
1791	2002.15557977684
1793	2002.1458813518
1787	2002.13295026457
1796	2002.12325205878
1794	2002.11032126387
1791	2002.10062327731
1796	2002.0909253847
1796	2002.07799500738
1795	2002.068297334
1789	2002.05859975457
1795	2002.04566979481
1803	2002.03597243459
1792	2002.02627516833
1800	2002.01334562611
1800	2002.00364857904
1798	2001.99071932909
1799	2001.98102250123
1795	2001.9713257673
1791	2001.95839693486
1800	2001.94870042012
1812	2001.93900399931
1790	2001.92607558435
1803	2001.91637938272
1795	2001.90668327502
1795	2001.89375527753
1795	2001.884059389
1803	2001.87113168372
1796	2001.86143601434
1800	2001.85174043889
1794	2001.83881315105
1807	2001.82911779474
1807	2001.81942253235
1808	2001.80649566192
1801	2001.79680061866
1806	2001.78710566932
1795	2001.77417921628
1793	2001.76448448607
1798	2001.75478984976
1797	2001.7418638141
1803	2001.7321693969
1806	2001.71924365339
1806	2001.7095494553
1806	2001.69985535112
1798	2001.68693002494
1797	2001.67723613986
1794	2001.66754234867
1798	2001.6546174398
1792	2001.6449238677
1799	2001.63523038949
1805	2001.62230589793
1803	2001.61261263879
1814	2001.59968843932
1813	2001.58999539926
1805	2001.58030245307
1810	2001.56737867087
1794	2001.55768594374
1804	2001.5479933105
1809	2001.53506994554
1804	2001.52537753134
1814	2001.51568521101
1798	2001.50276226327
1815	2001.49307016199
1814	2001.48014750629
1804	2001.47045562403
1818	2001.46076383564
1813	2001.44784159714
1815	2001.43815002776
1801	2001.42845855225
1819	2001.41553673092
1808	2001.40584547441
1818	2001.39615431177
1813	2001.38323290758
1810	2001.37354196393
1805	2001.36385111414
1813	2001.35093012708
1830	2001.34123949627
1820	2001.32831880119
1818	2001.31862838936
1807	2001.30893807138
1815	2001.29601779339
1820	2001.28632769438
1834	2001.27663768921
1835	2001.26371782829
1833	2001.25402804207
1846	2001.2443383497
1863	2001.23141890583
1946	2001.2217294324
1975	2001.20881028046
2144	2001.19912102598
2426	2001.18943186532
2691	2001.17651313039
2894	2001.16682418866
3142	2001.15713534076
3136	2001.14421702284
2885	2001.13452839385
2795	2001.12483985869
2678	2001.11192195774
2477	2001.10223364148
2244	2001.08931603241
2098	2001.07962793505
1990	2001.06993993151
1937	2001.05702273938
1892	2001.04733495472
1846	2001.03764726388
1840	2001.02473048867
1835	2001.0150430167
1837	2001.00535563854
1834	2000.99243928024
1852	2000.98275212095
1834	2000.97306505545
1877	2000.96014911403
1914	2000.95046226739
1927	2000.93754661778
1995	2000.92785998999
2094	2000.918173456
2207	2000.90525822324
2279	2000.89557190808
2292	2000.88588568671
2247	2000.87297087078
2215	2000.86328486824
2226	2000.85359895948
2178	2000.84068456036
2105	2000.83099887042
2054	2000.81808476305
2016	2000.80839929192
1998	2000.79871391457
2018	2000.78580022397
2139	2000.77611506543
2149	2000.76643000065
2256	2000.7535167268
2282	2000.74383188081
2256	2000.73414712859
2217	2000.72123427148
2156	2000.71154973803
2147	2000.70186529835
2085	2000.68895285795
2030	2000.67926863704
1973	2000.66635648833
1952	2000.65667248618
1942	2000.64698857778
1970	2000.63407684575
2034	2000.6243931561
2107	2000.61470956021
2264	2000.60179824484
2455	2000.59211486768
2548	2000.58243158426
2645	2000.56952068553
2587	2000.55983762085
2483	2000.54692701375
2459	2000.53724416779
2350	2000.52756141557
2228	2000.51465122508
2096	2000.50496869156
2061	2000.49528625178
1998	2000.48237647788
1922	2000.4726942568
1897	2000.46301212945
1852	2000.4501027721
1843	2000.44042086344
1850	2000.42751179768
1839	2000.41783010771
1855	2000.40814851145
1842	2000.39523986222
1843	2000.38555848464
1840	2000.37587720077
1826	2000.36296896805
1842	2000.35328790284
1851	2000.34360693134
1844	2000.33069911512
1842	2000.32101836227
1857	2000.31133770313
1828	2000.29843030337
1832	2000.28874986287
1843	2000.27584275463
1845	2000.26616253277
1871	2000.2564824046
1908	2000.2435757128
1986	2000.23389580325
2080	2000.2242159874
2233	2000.21130971201
2396	2000.20163011478
2383	2000.19195061123
2370	2000.17904475223
2340	2000.16936546729
2274	2000.15645989976
2192	2000.14678083341
2151	2000.13710186074
2070	2000.12419670957
2007	2000.11451795548
1949	2000.10483929508
1875	2000.09193456025
1881	2000.08225611841
1877	2000.07257777025
1834	2000.05967345174
1843	2000.04999532214
1866	2000.03709129505
1847	2000.027413384
1859	2000.01773556662
1871	2000.00483195582
1858	1999.99515435698
1856	1999.98547685181
1844	1999.97257365727
1841	1999.96289637063
1833	1999.95321917764
1865	1999.94031639934
1845	1999.93063942488
1835	1999.92096254407
1841	1999.908060182
1859	1999.89838351971
1839	1999.88548144898
1850	1999.87580500519
1846	1999.86612865505
1844	1999.85322700051
1852	1999.84355086886
1842	1999.83387483085
1862	1999.82097359249
1852	1999.81129777296
1837	1999.80162204707
1863	1999.78872122486
1827	1999.77904571744
1828	1999.76614518652
1830	1999.75646989757
1845	1999.74679470224
1845	1999.73389458745
1834	1999.72421961058
1830	1999.71454472733
1858	1999.70164502863
1856	1999.69197036382
1861	1999.68229579264
1859	1999.66939651002
1849	1999.65972215726
1852	1999.64682316588
1857	1999.63714903156
1844	1999.62747499085
1838	1999.61457641551
1838	1999.60490259321
1823	1999.59522886452
1832	1999.58233070521
1811	1999.57265719492
1816	1999.56298377824
1822	1999.55008603493
1813	1999.54041283664
1827	1999.53073973195
1829	1999.51784240462
1826	1999.50816951831
1821	1999.49527248216
1818	1999.48559981423
1823	1999.47592723989
1821	1999.46303061968
1837	1999.45335826371
1824	1999.44368600132
1811	1999.43078979704
1835	1999.42111775301
1824	1999.41144580256
1818	1999.39855001419
1818	1999.38887828208
1809	1999.37598278484
1808	1999.36631127107
1813	1999.35663985088
1795	1999.3437447695
1810	1999.33407356764
